name,phone,email,address,city,category,website,rating,review_count,source
"Godwit Cafe | Best Cafes in Nagpur | Best Coffee, Bakery & Beverages in Nagpur",09039017400,,"Gupta Tower, Temple Rd, near Shopper stop, Sita Kunj, Civil Lines, Nagpur, Maharashtra 440001",Nagpur,Cafe,https://www.godwitcafe.com/,4.7,,google_maps
THE DOWN TOWN CAFE & RESTRO,08329116878,,"BS-1,POOJA PALACE, opposite LIGHT STUDIO, Dhantoli, Nagpur, Maharashtra 440012",Nagpur,Cafe,,,,google_maps
COFFEE HOUSE,09325495141,,"Shakuntal Apartment, Plot no.3, opp. Yeshwant Stadium, Dhantoli, Nagpur, Maharashtra 440012",Nagpur,Coffee shop,,4.7,,google_maps
Warehouse | Cafe’,07722075000,,"3rd Floor, VR Mall, Medical Chowk, Rambagh Layout, Rambagh, Nagpur, Maharashtra 440003",Nagpur,Lounge bar,https://www.warehousecafe.in/,4.5,,google_maps
ORO's: Gourmet Wood-Fired Pizza & Speciality Coffee,07666843275,,"Ved bhumi apartment, Abhyankar Marg, Mehadia Square, Dhantoli, Nagpur, Maharashtra 440012",Nagpur,Italian restaurant,https://orosindia.com/,4.3,,google_maps
Corridor Seven Coffee Roastery/Standing Room,08446418239,,"392, Khare Town, Dharampeth, Nagpur, Maharashtra 440010",Nagpur,Coffee shop,http://www.corridorseven.coffee/,4.5,,google_maps
Roma Specialty Coffee,,,"Bharadwaj apt, 7, Tikekar Rd, Kagaz Nagar, Dhantoli, Nagpur, Maharashtra 440012",Nagpur,Cafe,,,,google_maps
"Three Beans, Civil Lines",09359389766,,"Sunnydale"" Rajlaxmi Marg, Civil Lines, Nagpur, Maharashtra 440001",Nagpur,Cafe,https://www.threebeans.in/,4.3,,google_maps
Tea Tonique cafe,08793607904,,"Opposite yashwant stadium, Abhyankar Marg, Mehadia Square, Dhantoli, Nagpur, Maharashtra 440012",Nagpur,Cafe,,,,google_maps
"Nothing Before Coffee - Zenda Chowk, Nagpur",09999991878,,"House No. 827, Zenda Chowk, opposite Joshi Samosa, Gorepeth, Nagpur, Maharashtra 440010",Nagpur,Coffee shop,https://stores.nothingbeforecoffee.com/nothing-before-coffee-in-maharashtra-nagpur-zenda-chowk-57516,4.6,,google_maps
Little Owl Cafe,08668546067,,"House No. 2107/6, Suraj Vishwajit Appartment, Mankapur Ring Rd, Padole Layout, Gayatri Nagar, Trimurti Nagar, Nagpur, Maharashtra 440022",Nagpur,Cafe,https://linktr.ee/littleowlcafe,4.3,,google_maps
BellaVista Cafe & Skybar,09561888601,,"6th Floor, Narang Towers, Palm Rd, Collectors Colony, Civil Lines, Nagpur, Maharashtra 440001",Nagpur,Cafe,,,,google_maps
The H Cafe,07499965971,,"F1, Narmada Plaza, VIP Rd, opposite Childrens Traffic Park, Gorepeth, Nagpur, Maharashtra 440010",Nagpur,Cafe,http://thehcafe.in/,4.4,,google_maps
Retreat Cafe and Eatery (previously Momma’s Cafe),09370430479,,"Shop No. 3, Plot 43, Central Bazar Road, next to Anna Restaurant, Bajaj Nagar, Nagpur, Maharashtra 440010",Nagpur,Cafe,,,,google_maps
Corridor Seven Coffee Roasters,08600645295,,"Temple Bazar Road Opp. St Francis Xavier Church, near Ghugre vada pao, inside khushboo flowers lane, Sitabuldi, Nagpur, Maharashtra 440012",Nagpur,Cafe,http://corridorseven.coffee/,4.5,,google_maps
Villa 167 Cafe,07820883985,,"331, Abhyankar Nagar, Nagpur, Maharashtra 440010",Nagpur,Cafe,,,,google_maps
222 Backyard,09284478521,,"225-A, W High Ct Rd, behind Max Showroom, Dharampeth, Nagpur, Maharashtra 440010",Nagpur,Cafe,,,,google_maps
"Three Beans Coffee Bar, Dharampeth",09373928792,,"Janki Apartment, Plot no 5/19, JB Thakkar Marg, Gorepeth, Nagpur, Maharashtra 440010",Nagpur,Coffee shop,http://threebeans.co.in/,4.1,,google_maps
Pablo - The Art Cafe' & Lounge,09011022226,,"240/A, E High Ct Rd, Civil Lines, Nagpur, Maharashtra 440001",Nagpur,Lounge bar,https://www.zomato.com/nagpur/pablo-the-art-cafe-lounge-civil-lines,4.2,,google_maps
Collective Coffee House,07666709639,,"23B, opposite hare krishna enclave, Om Sai Nagar, Shivaji Nagar, Nagpur, Maharashtra 440010",Nagpur,Cafe,,,,google_maps
